Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الطائف,جامعة,جامعة الطائف,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,ذكر,سعودي,398
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الصحة والرفاة,الصحة,الصيدلة,منتظم,أنثى,سعودي,381
1/1/2017,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,جامعة,جامعة الأعمال والتكنولوجيا الأهلية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,51
1/1/2015,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,عسير,خميس مشيط,جامعة,جامعة الملك خالد,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,627
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,مكة المكرمة,جدة,كلية,المؤسسة العامة للتدريب التقني والمهني,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,30
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,الصحة والرفاة,الصحة,دراسات طب الأسنان,منتظم,أنثى,سعودي,307
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,الفنون والعلوم الإنسانية,الفنون,الموضة والتصميم الداخلي والصناعي,منتظم,أنثى,سعودي,172
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الإحساء,جامعة,جامعة الملك فيصل,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم الاجتماع والدراسات الثقافية,منتسب,أنثى,غير سعودي,243
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الطائف,جامعة,جامعة الطائف,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتسب,ذكر,سعودي,2470
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الجوف,سكاكا,جامعة,جامعة الجوف,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتسب,أنثى,سعودي,154
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,القصيم,بريدة,كلية,المؤسسة العامة للتدريب التقني والمهني,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تصميم وإدارة قواعد وشبكات البيانات,منتظم,ذكر,سعودي,255
1/1/2017,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الرياض,وادي الدواسر,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,سعودي,105
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,علم التربية,منتظم,ذكر,سعودي,27
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الجوف,الجوف,جامعة,جامعة الجوف,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,197
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,عسير,خميس مشيط,جامعة,جامعة الملك خالد,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,غير سعودي,12
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,عنيزة,جامعة,جامعة القصيم,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,غير سعودي,2
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,ذكر,غير سعودي,26
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,كلية,كلية الأمير سلطان للسياحة والإدارة بجدة,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,غير سعودي,4
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,منتظم,ذكر,سعودي,8
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,صبيا,جامعة,جامعة جازان,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,أنثى,غير سعودي,2
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الجموم,جامعة,جامعة أم القرى,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,برامج غير مصنفة في مجال تكنولوجيا الاتصالات والمعلومات,منتظم,ذكر,سعودي,435
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الدوادمي,جامعة,جامعة شقراء,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,ذكر,سعودي,19
1/1/2014,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الرياض,الخرج,جامعة,جامعة الأمير سطام بن عبدالعزيز,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,ذكر,غير سعودي,2
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,23
1/1/2016,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الجوف,القريات,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,غير سعودي,4
1/1/2015,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الشرقية,الإحساء,كلية,المؤسسة العامة للتدريب التقني والمهني,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,موازي,ذكر,غير سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,تبوك,أملج,جامعة,جامعة تبوك,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,أنثى,سعودي,115
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,ظهران الجنوب,جامعة,جامعة الملك خالد,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,سعودي,3
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,94
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,ذكر,سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,الجامعة السعودية الإلكترونية,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,أنثى,سعودي,140
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,ذكر,سعودي,31
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,أنثى,سعودي,165
1/1/2014,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,الأعمال والإدارة والقانون,القانون,القانون,منتظم,ذكر,غير سعودي,3
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,ذكر,سعودي,180
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,الكيمياء,منتظم,أنثى,سعودي,5
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الباحة,بلجرشي,جامعة,جامعة الباحة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,أنثى,غير سعودي,1
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,تبوك,تيماء,جامعة,جامعة تبوك,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,ذكر,سعودي,57
1/1/2017,دراسات عليا,دبلوم عالي,جامعات حكومية,مكة المكرمة,رنية,جامعة,جامعة الطائف,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,أنثى,سعودي,51
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,124
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,سعودي,108
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الخرمة,جامعة,جامعة الطائف,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,أنثى,سعودي,365
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة الفيصل,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,منتظم,ذكر,سعودي,4
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,عفيف,جامعة,جامعة شقراء,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,موازي,ذكر,سعودي,34
1/1/2017,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تصميم وإدارة قواعد وشبكات البيانات,منتظم,أنثى,غير سعودي,1
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الهندسة والمعالجات الكيميائية,منتظم,ذكر,سعودي,3
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الباحة,بلجرشي,جامعة,جامعة الباحة,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,48
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,برامج غير مصنفة في مجال تكنولوجيا الاتصالات والمعلومات,منتظم,أنثى,غير سعودي,26
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,بريدة,جامعة,جامعة القصيم,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,الكيمياء,منتظم,أنثى,غير سعودي,2
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم الاجتماع والدراسات الثقافية,منتظم,ذكر,سعودي,78
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الخفجي,جامعة,جامعة حفر الباطن,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,أنثى,غير سعودي,1
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,خميس مشيط,جامعة,جامعة الملك خالد,الصحة والرفاة,الصحة,دراسات طب الأسنان,منتظم,ذكر,سعودي,71
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,المجاردة,جامعة,جامعة الملك خالد,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,سعودي,51
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,منتظم,ذكر,غير سعودي,2
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الأعمال والإدارة والقانون,الأعمال والإدارة,برامج غير محددة في الأعمال والإدارة,منتظم,ذكر,سعودي,1800
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,الجامعة العربية المفتوحة,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,206
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الخرج,جامعة,جامعة الأمير سطام بن عبدالعزيز,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,أنثى,سعودي,173
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,موازي,أنثى,سعودي,76
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,غير سعودي,11
1/1/2015,بكالوريوس,بكالوريوس,مؤسسات التعليم العالي الأخرى,المدينة المنورة,ينبع,كلية,قطاع ينبع التعليمي,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الكهرباء والطاقة,موازي,ذكر,سعودي,35
1/1/2014,دراسات عليا,زمالة,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود بن عبدالعزيز للعلوم الصحية,الصحة والرفاة,الصحة,الطب,منتظم,ذكر,سعودي,4
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الدوادمي,جامعة,جامعة شقراء,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,ذكر,غير سعودي,1
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الفنون والعلوم الإنسانية,الدراسات الإنسانية,التاريخ وعلم الآثار,منتظم,أنثى,سعودي,999
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتسب,أنثى,غير سعودي,3
1/1/2014,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,سعودي,81
1/1/2014,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الرياض,الخرج,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,غير سعودي,4
1/1/2015,دراسات عليا,زمالة,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الصحة والرفاة,الصحة,الطب,منتظم,ذكر,سعودي,1
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,غير سعودي,1
1/1/2013,دراسات عليا,ماجستير,جامعات حكومية,القصيم,بريدة,جامعة,جامعة القصيم,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,ذكر,سعودي,15
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,أنثى,سعودي,4
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم النفس,منتظم,ذكر,غير سعودي,1
1/1/2013,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,ذكر,سعودي,3
1/1/2017,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,حائل,حائل,جامعة,الجامعة العربية المفتوحة,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,غير سعودي,11
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الحدود الشمالية,عرعر,جامعة,جامعة الحدود الشمالية,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتظم,أنثى,سعودي,257
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الخرج,جامعة,جامعة الأمير سطام بن عبدالعزيز,الصحة والرفاة,الصحة,برامج غير محددة في الصحة,منتظم,ذكر,سعودي,1291
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,المزاحمية,جامعة,جامعة الملك سعود,الهندسة والتصنيع والبناء,برامج غير محددة في الهندسة والتصنيع والبناء,برامج غير محددة في الهندسة والتصنيع والبناء,منتظم,ذكر,غير سعودي,4
1/1/2014,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة اليمامة الأهلية,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تصميم وإدارة قواعد وشبكات البيانات,منتظم,أنثى,سعودي,5
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الطائف,جامعة,جامعة الطائف,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,الكيمياء الحيوية,منتظم,أنثى,سعودي,221
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,القويعية,جامعة,جامعة شقراء,تكنولوجيا الاتصالات والمعلومات,برامج غير محددة في تكنولوجيا الاتصالات والمعلومات,برامج غير محددة في تكنولوجيا الاتصالات والمعلومات,منتظم,أنثى,سعودي,50
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,القنفذة,جامعة,جامعة أم القرى,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتسب,أنثى,سعودي,636
1/1/2017,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,جازان,أبو عريش,جامعة,جامعة جازان,الأعمال والإدارة والقانون,الأعمال والإدارة,السكرتارية والأعمال المكتبية,منتظم,أنثى,سعودي,79
1/1/2015,دراسات عليا,زمالة,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الصحة والرفاة,الصحة,الطب,منتظم,ذكر,سعودي,85
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,سعودي,730
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة جدة,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,ذكر,غير سعودي,3
1/1/2016,دبلوم متوسط,دبلوم متوسط,جامعات حكومية,تبوك,تبوك,جامعة,جامعة تبوك,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,79
1/1/2017,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,الكيمياء الحيوية,منتظم,أنثى,غير سعودي,6
1/1/2014,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,علوم الأرض,منتظم,أنثى,غير سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,شقراء,جامعة,جامعة شقراء,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,أنثى,غير سعودي,1
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,الطائف,جامعة,جامعة الطائف,العلوم الطبيعية والرياضيات والإحصاء,العلوم الفيزيائية,الفيزياء,منتظم,ذكر,غير سعودي,9
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,خليص,جامعة,جامعة جدة,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,برامج ومؤهلات متعددة التخصصات في تكنولوجيا الاتصالات والمعلومات,منتظم,ذكر,سعودي,160
1/1/2014,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الشرقية,الدمام,جامعة,جامعة الأمير محمد بن فهد,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,أنثى,سعودي,156
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الباحة,الباحة,جامعة,جامعة الباحة,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الرياضيات,منتظم,أنثى,سعودي,8
1/1/2016,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الجوف,القريات,كلية,المؤسسة العامة للتدريب التقني والمهني,الفنون والعلوم الإنسانية,برامج غير محددة في الفنون والعلوم الإنسانية,برامج غير محددة في الفنون والعلوم الإنسانية,منتظم,ذكر,سعودي,57
1/1/2013,دراسات عليا,ماجستير,جامعات وكليات أهلية,الرياض,الرياض,كلية,كلية الشرق العربي للدراسات العليا الأهلية,التعليم,التعليم,تدريب معلمي ما قبل المدرسة,منتظم,أنثى,سعودي,16
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,غير سعودي,1
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,ينبع,جامعة,جامعة طيبة,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتظم,ذكر,غير سعودي,1
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الاجتماعية والصحافة والإعلام,العلوم الاجتماعية والسلوكية,علم الاقتصاد,منتظم,ذكر,سعودي,30
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,المدينة المنورة,المدينة المنورة,جامعة,جامعة طيبة,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,أنثى,سعودي,69
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الفنون والعلوم الإنسانية,الدراسات الإنسانية,التاريخ وعلم الآثار,منتظم,ذكر,سعودي,43
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,شقراء,جامعة,جامعة شقراء,الصحة والرفاة,الصحة,التمريض والقبالة,منتظم,ذكر,سعودي,101
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,التعليم,التعليم,تدريب المعلمين دون موضوع تخصصي,منتظم,أنثى,سعودي,352
1/1/2014,دراسات عليا,دكتوراه,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الفنون والعلوم الإنسانية,الدراسات الإنسانية,الدين وعلوم الأديان,منتظم,أنثى,سعودي,3
1/1/2017,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,العلوم الطبيعية والرياضيات والإحصاء,الرياضيات والإحصاء,الإحصاء,منتظم,ذكر,سعودي,3
1/1/2014,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,المدينة المنورة,المدينة المنورة,كلية,المؤسسة العامة للتدريب التقني والمهني,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,ذكر,سعودي,356
1/1/2015,دراسات عليا,ماجستير,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,التعليم,التعليم,علم التربية,منتظم,أنثى,غير سعودي,2
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,خليص,جامعة,جامعة جدة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,البرامج والمؤهلات العامة,منتظم,ذكر,غير سعودي,1
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,حائل,حائل,جامعة,جامعة حائل,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,أنثى,سعودي,302
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,أنثى,غير سعودي,2
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الإمام محمد بن سعود الإسلامية,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,ذكر,سعودي,253
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,أنثى,غير سعودي,6
1/1/2016,دراسات عليا,ماجستير,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,برامج ومؤهلات متعددة التخصصات في تكنولوجيا الاتصالات والمعلومات,منتظم,ذكر,سعودي,16
1/1/2017,دراسات عليا,دكتوراه,جامعات حكومية,مكة المكرمة,مكة المكرمة,جامعة,جامعة أم القرى,العلوم الطبيعية والرياضيات والإحصاء,العلوم البيولوجية والعلوم المتصلة بها,البيولوجيا,منتظم,أنثى,سعودي,1
