Year,Educational Level,Academic Level,Type of Educational Institution,Region,State,Type of University,University Name,General Field,Field,Specialization,Education type,Gender,Nationality,Number of Students
1/1/2015,دبلوم متوسط,دبلوم متوسط,مؤسسات التعليم العالي الأخرى,الرياض,الخرج,كلية,المؤسسة العامة للتدريب التقني والمهني,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الكهرباء والطاقة,منتظم,ذكر,غير سعودي,3
1/1/2015,دراسات عليا,ماجستير,جامعات وكليات أهلية,الرياض,الرياض,جامعة,جامعة رياض العلم,الصحة والرفاة,الصحة,دراسات طب الأسنان,منتظم,أنثى,غير سعودي,2
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,جازان,جازان,جامعة,جامعة جازان,الأعمال والإدارة والقانون,الأعمال والإدارة,المالية والمصارف والتأمين,منتظم,أنثى,غير سعودي,5
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,القصيم,بريدة,جامعة,جامعة القصيم,الزراعة والحراجة ومصائد الأسماك والبيطرة,الزراعة,برامج غير محددة في الزراعة,منتظم,ذكر,غير سعودي,12
1/1/2013,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,القصيم,البكيرية,كلية,كليات سليمان الراجحي الأهلية,الصحة والرفاة,الصحة,الطب,منتظم,ذكر,سعودي,31
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتسب,ذكر,سعودي,1090
1/1/2014,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,رابغ,جامعة,جامعة الملك عبدالعزيز,الأعمال والإدارة والقانون,الأعمال والإدارة,التسيير والإدارة,منتسب,أنثى,سعودي,1434
1/1/2013,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,الهندسة والتصنيع والبناء,الهندسة المعمارية والبناء,الهندسة المعمارية وتخطيط المدن,موازي,ذكر,غير سعودي,125
1/1/2013,دراسات عليا,دكتوراه,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الملك سعود,الفنون والعلوم الإنسانية,الدراسات الإنسانية,التاريخ وعلم الآثار,منتظم,ذكر,سعودي,10
1/1/2015,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,مكة المكرمة,جدة,كلية,كلية البترجي الأهلية للعلوم الطبية والتقنية,الصحة والرفاة,الصحة,دراسات طب الأسنان,منتظم,أنثى,سعودي,246
1/1/2016,بكالوريوس,بكالوريوس,مؤسسات التعليم العالي الأخرى,الشرقية,الجبيل,كلية,الكلية الجامعية بالجبيل,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,موازي,أنثى,غير سعودي,4
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الأعمال والإدارة والقانون,الأعمال والإدارة,التسويق والإعلان,منتظم,أنثى,سعودي,8
1/1/2016,بكالوريوس,بكالوريوس,جامعات وكليات أهلية,الشرقية,الدمام,جامعة,جامعة الأمير محمد بن فهد,الهندسة والتصنيع والبناء,الهندسة والحرف الهندسية,الميكانيك والحرف المعدنية,منتظم,ذكر,غير سعودي,69
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الشرقية,الدمام,جامعة,جامعة الإمام عبدالرحمن بن فيصل,الفنون والعلوم الإنسانية,اللغات,الأدب وعلوم اللغات,منتسب,أنثى,سعودي,13
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,عسير,بيشة,جامعة,جامعة بيشة,التعليم,التعليم,تدريب المعلمين مع موضوع تخصصي,منتظم,ذكر,سعودي,270
1/1/2017,بكالوريوس,بكالوريوس,جامعات حكومية,مكة المكرمة,جدة,جامعة,جامعة الملك عبدالعزيز,تكنولوجيا الاتصالات والمعلومات,تكنولوجيا الاتصالات والمعلومات,تطوير وتحليل البرمجيات والتطبيقات,منتظم,أنثى,غير سعودي,15
1/1/2016,بكالوريوس,بكالوريوس,جامعات حكومية,الرياض,الرياض,جامعة,جامعة الأميرة نورة بنت عبدالرحمن,الصحة والرفاة,الصحة,العلاج وإعادة التأهيل,منتظم,أنثى,غير سعودي,5
1/1/2015,بكالوريوس,بكالوريوس,جامعات حكومية,الجوف,القريات,جامعة,جامعة الجوف,الفنون والعلوم الإنسانية,اللغات,إكتساب اللغات,منتظم,ذكر,غير سعودي,2
